model,train_type,layer_count,total_feature_count,total_parameter_count
alexnet,random,18,1075688,61100840
alexnet,imagenet,18,1075688,61100840
vgg11,random,26,16399848,132863336
vgg11,imagenet,26,16399848,132863336
vgg13,random,30,26033640,133047848
vgg13,imagenet,30,26033640,133047848
vgg16,random,36,28642792,138357544
vgg16,imagenet,36,28642792,138357544
vgg19,random,42,31251944,143667240
vgg19,imagenet,42,31251944,143667240
vgg11_bn,random,34,23825896,132868840
vgg11_bn,imagenet,34,23825896,132868840
vgg13_bn,random,40,38276584,133053736
vgg13_bn,imagenet,40,38276584,133053736
vgg16_bn,random,49,42190312,138365992
vgg16_bn,imagenet,49,42190312,138365992
vgg19_bn,random,58,46104040,143678248
vgg19_bn,imagenet,58,46104040,143678248
resnet18,random,60,7477736,11689512
resnet18,imagenet,60,7477736,11689512
resnet34,random,108,11240936,21797672
resnet34,imagenet,108,11240936,21797672
resnet50,random,158,32040424,25557032
resnet50,imagenet,158,32040424,25557032
resnet101,random,311,47394280,44549160
resnet101,imagenet,311,47394280,44549160
resnet152,random,464,66360808,60192808
resnet152,imagenet,464,66360808,60192808
squeezenet1_0,random,64,11945848,1248424
squeezenet1_0,imagenet,64,11945848,1248424
squeezenet1_1,random,64,6960376,1235496
squeezenet1_1,imagenet,64,6960376,1235496
densenet121,random,369,39815656,7978856
densenet121,imagenet,370,40016360,7978856
densenet161,random,489,72390856,28681000
densenet161,imagenet,490,72691912,28681000
densenet169,random,513,46984552,14149480
densenet169,imagenet,514,47185256,14149480
densenet201,random,609,59014248,20013928
densenet201,imagenet,610,59214952,20013928
googlenet,random,195,12333560,6624904
googlenet,imagenet,195,12333560,6624904
shufflenet_v2_x0_5,random,167,3284392,1366792
shufflenet_v2_x0_5,imagenet,167,3284392,1366792
shufflenet_v2_x1_0,random,167,6283192,2278604
shufflenet_v2_x1_0,imagenet,167,6283192,2278604
mobilenet_v2,random,151,19680680,3504872
mobilenet_v2,imagenet,151,19680680,3504872
resnext50_32x4d,random,158,41900008,25028904
resnext50_32x4d,imagenet,158,41900008,25028904
resnext101_32x8d,random,311,92326888,88791336
resnext101_32x8d,imagenet,311,92326888,88791336
wide_resnet50_2,random,158,41900008,68883240
wide_resnet50_2,imagenet,158,41900008,68883240
wide_resnet101_2,random,311,62371816,126886696
wide_resnet101_2,imagenet,311,62371816,126886696
mnasnet0_5,random,151,8999464,2218512
mnasnet0_5,imagenet,151,8999464,2218512
mnasnet1_0,random,151,16005288,4383312
mnasnet1_0,imagenet,151,16005288,4383312
autoencoding,taskonomy,162,32043648,23655504
class_object,taskonomy,162,32043648,23655504
class_scene,taskonomy,162,32043648,23655504
curvature,taskonomy,162,32043648,23655504
denoising,taskonomy,162,32043648,23655504
depth_euclidean,taskonomy,162,32043648,23655504
depth_zbuffer,taskonomy,162,32043648,23655504
edge_occlusion,taskonomy,162,32043648,23655504
edge_texture,taskonomy,161,32042080,23655504
egomotion,taskonomy,162,32043648,23655504
fixated_pose,taskonomy,162,32043648,23655504
inpainting,taskonomy,161,32042080,23655504
jigsaw,taskonomy,162,32043648,23655504
keypoints2d,taskonomy,161,32042080,23655504
keypoints3d,taskonomy,162,32043648,23655504
nonfixated_pose,taskonomy,162,32043648,23655504
normal,taskonomy,162,32043648,23655504
point_matching,taskonomy,162,32043648,23655504
reshading,taskonomy,162,32043648,23655504
room_layout,taskonomy,162,32043648,23655504
segment_semantic,taskonomy,162,32043648,23655504
segment_unsup25d,taskonomy,162,32043648,23655504
segment_unsup2d,taskonomy,162,32043648,23655504
vanishing_point,taskonomy,162,32043648,23655504
