model,imagenet_top1,imagenet_top5,brain_score
alexnet,43.45,20.91,0.324290212
densenet121,25.35,7.83,0.358620416
densenet161,22.35,6.2,
densenet169,24.0,7.0,0.364866221
densenet201,22.8,6.43,0.362708788
googlenet,30.22,10.47,
mnasnet0_5,,,
mnasnet1_0,26.49,8.456,0.323444394
mobilenet_v2,28.12,9.71,
resnet101,22.63,6.44,0.36466118
resnet152,21.69,5.94,0.362920606
resnet18,30.24,10.92,0.34994673299999995
resnet34,26.7,8.58,0.343839329
resnet50,23.85,7.13,0.363578741
resnext101_32x8d,20.69,5.47,
resnext50_32x4d,22.38,6.3,
shufflenet_v2_x0_5,,,
shufflenet_v2_x1_0,30.64,11.68,
squeezenet1_0,41.9,19.58,0.29096129
squeezenet1_1,41.81,19.38,0.308516645
vgg11,30.98,11.37,
vgg11_bn,29.62,10.19,
vgg13,30.07,10.75,
vgg13_bn,28.45,9.63,
vgg16,28.41,9.62,0.34200869100000003
vgg16_bn,26.63,8.5,
vgg19,27.62,9.12,0.342096768
vgg19_bn,25.76,8.15,
wide_resnet101_2,21.16,5.72,
wide_resnet50_2,21.49,5.91,
